n_blocks,k,a,ref_len,dot_nodes,dot_edges,verdict,gen_s,gen_rss_kb,gen_to,rec_s,rec_rss_kb,rec_to,pyidx_s,pyidx_rss_kb,pyidx_to,pyidx_failed,cppidx_build_ms,cppidx_rss_kb,cppidx_us_per_query,cppidx_to,stage_failed,error
20,4,2,2376,67,260,1,0.592,39588,False,0.034,5172,False,0.001,16912,False,,0.213,3584,0.0669,False,,
20,8,2,2376,2901,3331,1,0.453,40844,False,0.602,8748,False,0.004,17624,False,,0.24,3448,0.0825,False,,
20,12,2,2376,3639,3667,1,0.431,40740,False,0.793,9624,False,0.004,17620,False,,3.611,3592,0.0875,False,,
20,16,2,2376,3732,3747,1,0.5,40780,False,0.792,9688,False,0.004,17508,False,,0.237,3596,0.0918,False,,
20,20,2,2376,3795,3808,1,0.592,41164,False,0.829,9956,False,0.004,17636,False,,0.303,3668,0.0828,False,,
80,4,2,10533,67,259,1,0.332,39468,False,0.053,5284,False,0.001,17132,False,,0.19,3508,0.0661,False,,
80,8,2,10533,8565,12857,1,1.283,44148,False,4.667,16756,False,0.013,19484,False,,0.488,3696,0.1053,False,,
80,12,2,10533,16142,16279,1,3.131,47980,False,10.373,24868,False,0.017,20720,False,,0.512,3692,0.0963,False,,
80,16,2,10533,16482,16525,1,3.288,48356,False,10.658,25708,False,0.017,20680,False,,0.548,3808,0.0973,False,,
80,20,2,10533,16640,16668,1,3.226,48328,False,11.234,26328,False,0.017,20540,False,,0.508,3684,0.1042,False,,
300,4,2,73645,68,261,1,0.395,39532,False,0.039,5296,False,0.001,17196,False,,0.168,3552,0.0717,False,,
300,8,2,73645,15869,46582,1,7.299,48532,False,25.88,33200,False,0.041,26348,False,,1.021,3984,0.1075,False,,
120,12,2,21553,37345,37932,1,18.277,60096,False,49.271,51488,False,0.039,25696,False,,1.009,4028,0.1105,False,,
200,12,2,41634,68376,70172,1,62.395,75016,False,168.205,90868,False,0.07,33496,False,,8.341,4872,0.106,False,,
300,12,2,73645,118306,122841,,234.446,103032,False,240.013,,True,,,,,,,,,recognizer,
500,12,2,126310,,,,600.034,,True,,,,,,,,,,,,generator,
992,12,2,216799,,,,600.047,,True,,,,,,,,,,,,generator,
992,4,2,216799,69,262,1,0.616,40192,False,0.033,5300,False,0.001,17028,False,,0.15,3568,0.0749,False,,
992,8,2,216799,16380,61281,1,10.709,49448,False,33.497,38004,False,0.053,29452,False,,1.065,4328,0.1016,False,,
