chrom,a,s,sample,n_blocks,total_suffix_nodes,total_sa_samples,build_s,build_rss_kb,inmem_kb,inmem_blocks_kb,inmem_router_kb,ondisk_arrays_kb,ondisk_rebuild_kb,count_us,locate_ms,routed_ms,median_survivors,of_blocks,multi_species_frac,verify_mismatches
chrI,2,1,rate,992,436983,436983,3.15,150956,164456,151452,13004,4231,452,19.8,2.94,0.4606,8.5,992,0.975,0
chrI,2,4,rate,992,436983,109557,2.92,132208,138526,125522,13004,3194,452,20.14,3.006,0.5283,8.5,992,0.975,0
chrI,2,16,rate,992,436983,27772,3.09,127408,131256,118252,13004,2870,452,20.27,3.279,0.7504,8.5,992,0.975,0
chrI,4,1,rate,992,820487,820487,6.04,251040,285859,270285,15574,7793,557,20.33,3.335,0.8604,13.0,992,1.0,0
chrI,4,4,rate,992,820487,205377,5.74,213176,234102,218529,15574,5706,558,20.42,3.763,0.9761,13.0,992,1.0,0
chrI,4,16,rate,992,820487,51731,5.88,203404,220201,204628,15574,5071,558,21.19,4.057,1.3685,13.0,992,1.0,0
chrI,7,1,rate,992,1165913,1165913,8.75,347144,402074,384363,17712,11335,657,20.27,3.878,1.2124,18.0,992,1.0,0
chrI,7,4,rate,992,1165913,291841,8.6,291696,326874,309162,17712,8258,658,20.39,4.027,1.3528,18.0,992,1.0,0
chrI,7,16,rate,992,1165913,73336,8.6,277864,307067,289355,17712,7328,658,20.29,4.768,1.9006,18.0,992,1.0,0
chrI,2,4,runs,992,436983,247643,2.96,135208,134774,121770,13004,3683,453,19.78,3.049,0.5752,8.5,992,0.975,0
chrI,4,4,runs,992,820487,436149,5.97,216488,225575,210001,15574,6574,559,20.37,3.635,1.043,13.0,992,1.0,0
chrI,7,4,runs,992,1165913,631709,8.45,296808,316035,298324,17712,9578,659,20.54,4.015,1.4477,18.0,992,1.0,0
